property-title,rating,price,price_with_tax,link
"Boutique hotel in Hahyo-dong, Seogwipo",4.87,,"₹2,300",https://www.airbnb.co.in/rooms/52450676?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3HpeZxqwgiQGUOa&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Home in Jeju,4.91,,"₹10,746",https://www.airbnb.co.in/rooms/35164636?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3_p7Oup3zwOalFO&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Place to stay in Cheju,4.92,,"₹8,620",https://www.airbnb.co.in/rooms/635925161499738222?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3S0z7Be8Dpiy4i0&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
"Pension in Dodu-dong, Jeju-si",4.85,,"₹15,759",https://www.airbnb.co.in/rooms/45535508?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3XxXvBxbOfDb4hh&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Home in Seogwipo-si,4.95,,"₹12,967",https://www.airbnb.co.in/rooms/645341703340109471?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3WTJ7BBrFONRsgW&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Apartment in Jeju-si,4.7,,"₹4,227",https://www.airbnb.co.in/rooms/37389983?adults=4&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-18&source_impression_id=p3_1724020899_P3CHCXPfFzrHRQXt&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Home in Cheju,4.98,,"₹41,549",https://www.airbnb.co.in/rooms/796160970516368799?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-16&check_out=2024-09-18&source_impression_id=p3_1724020900_P3uWKcxrMW6vmQE3&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
Pension in 서귀포시,4.96,,"₹39,973",https://www.airbnb.co.in/rooms/35167727?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-16&check_out=2024-09-18&source_impression_id=p3_1724020900_P3UgEIaDwbze6VGO&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
"Home in Namwon-eup, Seogwipo-si",4.88,,"₹25,789",https://www.airbnb.co.in/rooms/45569747?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-16&check_out=2024-09-18&source_impression_id=p3_1724020900_P3hcBk6wCOpnau1H&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
"Home in Hallim-eup, Jeju-si",4.99,,"₹30,804",https://www.airbnb.co.in/rooms/873140669262974122?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1724020900_P3scbSR_IhodediV&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
"Home in Gujwa-eup, Cheju",4.98,,"₹37,158",https://www.airbnb.co.in/rooms/50680516?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1724020900_P3Ua6fPwZtKfTNXC&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
"Guest house in Aewol-eup, Cheju",4.98,,"₹32,237",https://www.airbnb.co.in/rooms/714927490764634449?adults=4&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-18&check_out=2024-09-19&source_impression_id=p3_1724020900_P3j2bVEzI2SKnQ1n&previous_page_section_name=1000&federated_search_id=117b9f6a-1786-4fd2-9f1b-aefd4036140a
